"Main.ID","Incident.Type","Incident.ID","Region.of.Incident","Incident.date","Website.date","Incident.year","Incident.month","No..dead","No..missing","No..dead.missing","No..survivors","No..Female","No..Male","No..minors","Country.of.Origin","Region.of.Origin","Cause.of.death..reported.","Cause.of.death..category.","Route","Country.of.Incident","Location.of.death","Latitude","Longitude","UNSD.region","Body.taken.to","Source","Article.title","Link","Source.Quality","Notes","Names","incident_date_clean","incident_date_raw","incident_date_precision","lat","lon","date","dead","missing","dead_missing","survivors","n_female","n_male","n_minors","source_quality","year","month","post_mou","cause_category","cause_reported","incident_type","is_drowning","total_on_board","fatality_rate","grid_lon","grid_lat","grid_1deg","u10_lag0","u10_lag1","u10_lag2","u10_lag3","u10_lag7","v10_lag0","v10_lag1","v10_lag2","v10_lag3","v10_lag7","sst_lag0","sst_lag1","sst_lag2","sst_lag3","sst_lag7","tp_lag0","tp_lag1","tp_lag2","tp_lag3","tp_lag7","i10fg_lag0","i10fg_lag1","i10fg_lag2","i10fg_lag3","i10fg_lag7","swh_lag0","swh_lag1","swh_lag2","swh_lag3","swh_lag7","mwp_lag0","mwp_lag1","mwp_lag2","mwp_lag3","mwp_lag7","hmax_lag0","hmax_lag1","hmax_lag2","hmax_lag3","hmax_lag7","wind_lag0","wind_lag1","wind_lag2","wind_lag3","wind_lag7","swh_day0","wind_day0","sst_day0","i10fg_day0","hmax_day0","mwp_day0"
"2014.MMP00031","Incident","2014.MMP00031","Mediterranean","2014-02-27 00:00:00","2014-02-27",2014,"February",7,NA,7,"","","","","Somalia","Eastern Africa","Drowning (thrown overboard by other passengers)","Violence","Central Mediterranean","Libya","Libyan Coast",33.1597,15.1831,"Uncategorized","","Libya herald","Coastguard rescues over a hundred migrants","http://bit.ly/1lvR4Ka",1,"","","2014-02-27","2014-02-27","day",33.1597,15.1831,2014-02-27,7,0,7,NA,NA,NA,NA,1,2014,2,0,"Violence","Drowning (thrown overboard by other passengers)","Incident",0,NA,NA,15,33,"33_15",-6.99566650390625,-7.63967895507812,-3.09173583984375,3.47930908203125,-4.31884765625,2.73371887207031,0.84637451171875,4.16485595703125,-3.65016174316406,7.17855834960938,16.67958984375,16.87880859375,16.98037109375,17.03115234375,17.36416015625,0,1.43051147460938e-06,0,0,0,10.1942615509033,11.4716577529907,8.01498317718506,6.5418815612793,10.0056962966919,1.0426629781723,1.36297535896301,0.718527495861053,0.987935364246368,1.39666569232941,4.50474834442139,4.86452484130859,4.17435359954834,5.3247537612915,5.70995807647705,1.98839640617371,2.62317180633545,1.45308661460876,1.87156641483307,2.66341280937195,7.51083009429645,7.6864194753312,5.18698907326717,5.04274453443397,8.37759780943455,1.0426629781723,7.51083009429645,16.67958984375,10.1942615509033,1.98839640617371,4.50474834442139
"2014.MMP00044","Incident","2014.MMP00044","Mediterranean","2014-03-17 00:00:00","2014-03-17",2014,"March",1,NA,1,"1000.0","","","","Unknown","Unknown","Toxic fumes/aysphixiation","Vehicle accident / death linked to hazardous transport","Central Mediterranean","Libya","Mediterranean",34.9797,12.6563,"Uncategorized","","Global post","Italy arrests four suspected people smugglers","http://bit.ly/1lOxCNv",1,"Incidents between 17-19 March listed in one article","","2014-03-17","2014-03-17","day",34.9797,12.6563,2014-03-17,1,0,1,1000,NA,NA,NA,1,2014,3,0,"Vehicle accident / death linked to hazardous transport","Toxic fumes/aysphixiation","Incident",0,1001,0.000999000999000999,12.5,35,"35_12",3.83891296386719,3.60968017578125,-5.32023620605469,-11.0718994140625,2.61895751953125,-4.5947265625,-9.5257568359375,-1.30059814453125,5.19389343261719,-5.46707153320312,15.177392578125,14.980126953125,14.622705078125,14.163720703125,14.91494140625,0,0,0,0,8.58306884765625e-06,7.68589210510254,13.4127893447876,7.13262367248535,15.8784160614014,6.84438419342041,1.01200079917908,1.93162226676941,1.43417859077454,2.9643247127533,1.08505868911743,5.19436168670654,5.53938770294189,6.48915672302246,7.26978588104248,5.54136371612549,1.91990423202515,3.72908902168274,2.70276308059692,5.60881900787354,2.08840847015381,5.98738381334374,10.1867479731678,5.47690321457056,12.2296151053294,6.06199716580841,1.01200079917908,5.98738381334374,15.177392578125,7.68589210510254,1.91990423202515,5.19436168670654
"2014.MMP00056","Incident","2014.MMP00056","Mediterranean","2014-04-09 00:00:00","2014-04-09",2014,"April",1,0,1,"661.0","","","","Unknown","Unknown","Unknown","Mixed or unknown","Central Mediterranean","Italy","Italy waters",35.1092,13.623,"Uncategorized","","Deutsche Welle","Italy alarmed over boat migrant influx","http://bit.ly/1okLaA1",1,"","","2014-04-09","2014-04-09","day",35.1092,13.623,2014-04-09,1,0,1,661,NA,NA,NA,1,2014,4,0,"Mixed or unknown","Unknown","Incident",0,662,0.00151057401812689,13.5,35,"35_14",4.03468322753906,3.25102233886719,2.67860412597656,7.92758178710938,1.46263122558594,3.13319396972656,-3.8734130859375,-5.22193908691406,-5.24029541015625,4.99330139160156,16.265283203125,15.955712890625,15.689111328125,15.578759765625,15.750634765625,0,0,0,8.10623168945312e-06,0,6.13482666015625,6.8964991569519,8.15795421600342,13.3837232589722,6.38783407211304,0.367165237665176,0.68454784154892,1.04308879375458,1.75104510784149,0.510596454143524,3.28335380554199,4.38720703125,4.94034099578857,5.72660160064697,3.5275297164917,0.704935252666473,1.29477751255035,1.98513340950012,3.35244417190552,0.958621799945831,5.1083826401823,5.05692348984294,5.8688642760878,9.50301262637343,5.20310954040265,0.367165237665176,5.1083826401823,16.265283203125,6.13482666015625,0.704935252666473,3.28335380554199
"2014.MMP00072","Incident","2014.MMP00072","Mediterranean","2014-04-30 00:00:00","2014-04-30",2014,"April",NA,40,40,"1.0","","","","Somalia","Eastern Africa","Drowning","Drowning","Central Mediterranean","Libya","Coast of Libya",34.3706,14.1724,"Uncategorized","","Relief Web","UNHCR saddened at high seas accidents as Mediterranean claims more victims","http://bit.ly/1okLiQ5",1,"","","2014-04-30","2014-04-30","day",34.3706,14.1724,2014-04-30,0,40,40,1,NA,NA,NA,1,2014,4,0,"Drowning","Drowning","Incident",1,41,0.975609756097561,14,34.5,"34_14",1.71546936035156,1.95074462890625,3.94111633300781,6.90476989746094,8.47950744628906,1.2606201171875,2.95075988769531,-2.46488952636719,-1.88674926757812,-4.14251708984375,17.713525390625,17.395166015625,17.107080078125,17.049462890625,16.978173828125,0,0,0,0,0,3.0786247253418,4.60361099243164,6.34932613372803,9.9569091796875,12.5306844711304,0.658942341804504,0.76839941740036,1.25909650325775,1.28214383125305,1.9639790058136,5.57787799835205,5.97633743286133,6.06614875793457,5.62734222412109,5.96334838867188,1.24024081230164,1.45437669754028,2.38110828399658,2.43765449523926,3.76839447021484,2.12884903320147,3.53728547364193,4.6484490238676,7.15790962052395,9.43729274587364,0.658942341804504,2.12884903320147,17.713525390625,3.0786247253418,1.24024081230164,5.57787799835205
"2014.MMP00076","Incident","2014.MMP00076","Mediterranean","2014-05-02 00:00:00","2014-05-02",2014,"May",4,0,4,"80.0","","","","Eritrea, Ethiopia, Somalia","Eastern Africa","Drowning","Drowning","Central Mediterranean","Libya","Coast of Libya",33.1045,14.3481,"Uncategorized","","Relief Web","UNHCR saddened at high seas accidents as Mediterranean claims more victims","http://bit.ly/1okLiQ5",1,"","","2014-05-02","2014-05-02","day",33.1045,14.3481,2014-05-02,4,0,4,80,NA,NA,NA,1,2014,5,0,"Drowning","Drowning","Incident",1,84,0.0476190476190476,14.5,33,"33_14",1.55467224121094,-3.85614013671875,-4.18980407714844,-4.49066162109375,-1.81950378417969,-3.93708801269531,0.140045166015625,-1.1807861328125,0.421463012695312,-0.411788940429688,18.617822265625,18.801416015625,18.761376953125,18.500634765625,18.197900390625,0,0,0,0,0,5.36238670349121,3.61005687713623,5.2778434753418,6.03476333618164,3.0760669708252,0.730744004249573,0.622552335262299,0.436774373054504,0.80233496427536,0.620731234550476,4.56415367126465,4.20950317382812,5.20946979522705,6.48024368286133,5.29957389831543,1.37909758090973,1.1840353012085,0.823248624801636,1.51492357254028,1.16670143604279,4.23292662318885,3.85868234019563,4.3530120716961,4.510396087511,1.86551980748112,0.730744004249573,4.23292662318885,18.617822265625,5.36238670349121,1.37909758090973,4.56415367126465
"2014.MMP00081","Incident","2014.MMP00081","Mediterranean","2014-05-07 00:00:00","2014-05-07",2014,"May",1,0,1,"1000.0","","1.0","","Eritrea","Eastern Africa","Unknown","Mixed or unknown","Central Mediterranean","Libya","Mediterranean waters",35.8196,11.7554,"Uncategorized","","ANSA Med","Immigration: over 1,000 migrants rescued, taken to Sicily","http://bit.ly/1iVme2J",1,"more than 1000 survivors","","2014-05-07","2014-05-07","day",35.8196,11.7554,2014-05-07,1,0,1,1000,NA,1,NA,1,2014,5,0,"Mixed or unknown","Unknown","Incident",0,1001,0.000999000999000999,12,36,"36_12",-2.41923522949219,-0.483535766601562,3.12953186035156,4.67034912109375,-1.04527282714844,7.90673828125,-1.59439086914062,-5.72628784179688,-5.52391052246094,1.8231201171875,17.730126953125,17.4193359375,17.141015625,17.079736328125,17.027978515625,0,0,0,0,0,10.492486000061,3.20712184906006,8.28856945037842,9.34188938140869,2.7182731628418,0.830902814865112,0.475750923156738,1.12668752670288,1.78543734550476,0.584235310554504,3.64595508575439,4.69394111633301,4.98615646362305,5.71132373809814,5.27685260772705,1.60353457927704,0.895874798297882,2.15046787261963,3.43776321411133,1.10156893730164,8.26856755090024,1.66609996134144,6.52566794374846,7.23365387429174,2.10151427424813,0.830902814865112,8.26856755090024,17.730126953125,10.492486000061,1.60353457927704,3.64595508575439
"2014.MMP00099","Incident","2014.MMP00099","Mediterranean","2014-06-05 00:00:00","2014-06-05",2014,"June",3,0,3,"5200.0","","","","Unknown","Unknown","Unknown","Mixed or unknown","Central Mediterranean","Italy","Italian waters",35.358,12.7826,"Uncategorized","","Reuters","Italy rescues 5,200 boat migrants from Mediterranean sea, three dead","http://reut.rs/2bBvz2p",1,"","","2014-06-05","2014-06-05","day",35.358,12.7826,2014-06-05,3,0,3,5200,NA,NA,NA,1,2014,6,0,"Mixed or unknown","Unknown","Incident",0,5203,0.000576590428598885,13,35.5,"36_13",-1.22633361816406,5.32411193847656,3.43235778808594,-12.8195953369141,4.12962341308594,2.152587890625,-3.74931335449219,-6.63482666015625,-2.60014343261719,-4.07276916503906,20.4310546875,19.9740234375,19.6908203125,19.512109375,19.620751953125,0,0,0,0,0,2.74210357666016,8.73033905029297,10.5539064407349,17.4318962097168,8.0916919708252,0.644733786582947,1.83985376358032,2.05912685394287,2.49292874336243,0.919438004493713,6.35818576812744,6.70401191711426,7.20241546630859,6.13635540008545,4.49161148071289,1.2219250202179,3.54232001304626,3.89036178588867,4.8290491104126,1.74994909763336,2.47740363483724,6.51179841238978,7.47007394847965,13.0806257676157,5.80010674087991,0.644733786582947,2.47740363483724,20.4310546875,2.74210357666016,1.2219250202179,6.35818576812744
"2014.MMP00101","Incident","2014.MMP00101","Mediterranean","2014-06-08 00:00:00","2014-06-08",2014,"June",4,NA,4,"","","","","Central African Republic","Middle Africa","Drowning","Drowning","Central Mediterranean","Italy","Italian waters",35.4125,12.3486,"Uncategorized","","The Guardian","Migrants die in latest attempt at sea crossing to Italy","http://bit.ly/1qNxMp5",1,"","","2014-06-08","2014-06-08","day",35.4125,12.3486,2014-06-08,4,0,4,NA,NA,NA,NA,1,2014,6,0,"Drowning","Drowning","Incident",1,NA,NA,12.5,35.5,"36_12",0.91552734375,-2.03286743164062,-1.36332702636719,-2.58375549316406,-4.4150390625,-4.02806091308594,2.31692504882812,2.36634826660156,0.879150390625,-3.13612365722656,22.0248046875,21.558984375,20.914453125,20.49453125,19.9388671875,0,0,0,0,0.000223159790039062,4.91112279891968,3.85758113861084,4.76028823852539,3.39640045166016,9.39212322235107,0.226979568600655,0.24836927652359,0.340357720851898,0.634235739707947,0.676385521888733,2.6506290435791,3.6984806060791,5.2930383682251,6.20413303375244,3.86681842803955,0.413393527269363,0.462161540985107,0.64424204826355,1.2009289264679,1.27979505062103,4.13079472216723,3.08231920418901,2.7309823689785,2.72923026837084,5.41551858244591,0.226979568600655,4.13079472216723,22.0248046875,4.91112279891968,0.413393527269363,2.6506290435791
"2014.MMP00114","Incident","2014.MMP00114","Mediterranean","2014-06-14 00:00:00","2014-06-14",2014,"June",10,0,10,"39.0","","","","Unknown","Unknown","Drowning","Drowning","Central Mediterranean","Libya","Between Libya and Sicily",34.2775,14.6338,"Uncategorized","","Reuters","Ten migrants drown after boat sinks off Libya","http://reut.rs/1qNxMVT",1,"not sure number missing. Follow-up.","","2014-06-14","2014-06-14","day",34.2775,14.6338,2014-06-14,10,0,10,39,NA,NA,NA,1,2014,6,0,"Drowning","Drowning","Incident",1,49,0.204081632653061,14.5,34.5,"34_14",4.93524169921875,0.9124755859375,0.394256591796875,-0.316146850585938,-1.16177368164062,-1.17515563964844,-0.257339477539062,-0.683486938476562,0.345230102539062,1.13919067382812,23.527001953125,23.517236328125,23.176904296875,22.9876953125,21.9720703125,0,0,0,0,0,5.94644260406494,2.38330364227295,3.04697418212891,2.05432987213135,2.36392879486084,0.398369491100311,0.177751332521439,0.198711052536964,0.335514008998871,0.18538099527359,3.13279151916504,2.88612270355225,3.68680572509766,3.95312309265137,3.6843204498291,0.730628192424774,0.314367175102234,0.367145001888275,0.628031611442566,0.338138103485107,5.07322396579385,0.948069249386384,0.789045407592841,0.468116069831552,1.62710585970606,0.398369491100311,5.07322396579385,23.527001953125,5.94644260406494,0.730628192424774,3.13279151916504
"2014.MMP00116","Incident","2014.MMP00116","Mediterranean","2014-06-15 00:00:00","2014-06-15",2014,"June",1,0,1,"356.0","","","","Syrian Arab Republic","Western Asia","Unknown","Mixed or unknown","Central Mediterranean","Italy","Central Med Route - Sicily",35.9061,12.475,"Uncategorized","","BBC","Italy warns Mediterranean migrant rescues may end","http://bbc.in/V7Onc6",1,"","","2014-06-15","2014-06-15","day",35.9061,12.475,2014-06-15,1,0,1,356,NA,NA,NA,1,2014,6,0,"Mixed or unknown","Unknown","Incident",0,357,0.00280112044817927,12.5,36,"36_12",0.917892456054688,3.26043701171875,2.7532958984375,2.20578002929688,-0.73583984375,0.0616607666015625,-3.79234313964844,-4.92530822753906,-3.15028381347656,-3.44993591308594,23.192041015625,23.349267578125,23.750634765625,23.624169921875,21.6966796875,0,0,0,0,0,2.2118968963623,6.08413791656494,6.61767864227295,4.86728668212891,4.17674779891968,0.573973834514618,0.588799178600311,0.498063832521439,0.207988396286964,0.209889724850655,4.54008388519287,3.58909034729004,3.13197231292725,2.46268463134766,2.5556583404541,1.07705569267273,1.10758137702942,0.924230456352234,0.371539533138275,0.377260714769363,0.919961200823164,5.001231447976,5.64263231485242,3.84574487493611,3.52753711249791,0.573973834514618,0.919961200823164,23.192041015625,2.2118968963623,1.07705569267273,4.54008388519287
