Type,Region of Incident,Region of Origin,Migration Route,Source Quality,Cause of death (category),UNSD Regions,Country Names,Country,Region
Incident,Caribbean,Caribbean,Afghanistan to Iran,1.0,Accidental death,Caribbean,Afghanistan,Algeria,Northern Africa
Sub-incident,Central America,Caribbean (P),Bay of Bengal/Andaman Sea,2.0,Drowning,Central America,Åland Islands,Egypt,Northern Africa
Split Incident,Central Asia,Central America,Belarus-EU border,3.0,"Harsh environmental conditions / lack of adequate shelter, food, water",Central Asia,Albania,Libya,Northern Africa
Cumulative Incident,Eastern Africa,Central America (P),Caribbean to Central America,4.0,Mixed or unknown,Eastern Africa,Algeria,Morocco,Northern Africa
,Eastern Asia,Central Asia,Caribbean to US,5.0,Sickness / lack of access to adequate healthcare,Eastern Asia,American Samoa,Sudan,Northern Africa
,Europe,Central Asia (P),Central Mediterranean,,Vehicle accident / death linked to hazardous transport,Eastern Europe,Andorra,Tunisia,Northern Africa
,Mediterranean,Eastern Africa,Darien,,Violence,Middle Africa,Angola,Western Sahara,Northern Africa
,Middle Africa,Eastern Africa (P),Dominican Republic to Puerto Rico,,,Northern Africa,Anguilla,British Indian Ocean Territory,Eastern Africa
,North America,Eastern Asia,DRC to Uganda,,,Northern America,Antarctica,Burundi,Eastern Africa
,Northern Africa,Eastern Asia (P),Eastern Mediterranean,,,Northern Europe,Antigua and Barbuda,Comoros,Eastern Africa
,South America,Europe,Eastern Route to/from EHOA,,,Oceania,Argentina,Djibouti,Eastern Africa
,South-eastern Asia,Europe (P),Mainland Europe to the UK,,,South America,Armenia,Eritrea,Eastern Africa
,Southern Africa,Latin America / Caribbean (P),Haiti to Dominican Republic,,,South-eastern Asia,Aruba,Ethiopia,Eastern Africa
,Southern Asia,Middle Africa,Iran to Türkiye,,,Southern Africa,Australia,French Southern Territories,Eastern Africa
,Western Africa,Middle Africa (P),Italy to France,,,Southern Asia,Austria,Kenya,Eastern Africa
,Western Asia,Mixed,Naf River crossing,,,Southern Europe,Azerbaijan,Madagascar,Eastern Africa
,,Northern Africa,Northern Route from EHOA,,,Uncategorized,Bahamas,Malawi,Eastern Africa
,,Northern Africa (P),Route to Southern Africa,,,Western Africa,Bahrain,Mauritius,Eastern Africa
,,Northern America,Sahara Desert crossing,,,Western Asia,Bangladesh,Mayotte,Eastern Africa
,,Northern America (P),Sea crossings to Mayotte,,,Western Europe,Barbados,Mozambique,Eastern Africa
,,Oceania,Syria to Türkiye,,,,Belarus,Réunion,Eastern Africa
,,Oceania (P),Türkiye-Europe land route,,,,Belgium,Rwanda,Eastern Africa
,,South America,Ukraine to Europe,,,,Belize,Seychelles,Eastern Africa
,,South America (P),US-Mexico border crossing,,,,Benin,Somalia,Eastern Africa
,,South-eastern Asia,Venezuela to Caribbean,,,,Bermuda,South Sudan,Eastern Africa
,,South-eastern Asia (P),Western Africa / Atlantic route to the Canary Islands,,,,Bhutan,Uganda,Eastern Africa
,,Southern Africa,Western Balkans,,,,Bolivia (Plurinational State of),United Republic of Tanzania,Eastern Africa
,,Southern Africa (P),Western Mediterranean,,,,"Bonaire, Sint Eustatius and Saba",Zambia,Eastern Africa
,,Southern Asia,,,,,Bosnia and Herzegovina,Zimbabwe,Eastern Africa
,,Southern Asia (P),,,,,Botswana,Angola,Middle Africa
,,Sub-Saharan Africa,,,,,Bouvet Island,Cameroon,Middle Africa
,,Sub-Saharan Africa (P),,,,,Brazil,Central African Republic,Middle Africa
,,Unknown,,,,,British Indian Ocean Territory,Chad,Middle Africa
,,Western / Southern Asia,,,,,British Virgin Islands,Congo,Middle Africa
,,Western / Southern Asia (P),,,,,Brunei Darussalam,Democratic Republic of the Congo,Middle Africa
,,Western Africa,,,,,Bulgaria,Equatorial Guinea,Middle Africa
,,Western Africa (P),,,,,Burkina Faso,Gabon,Middle Africa
,,Western Asia,,,,,Burundi,Sao Tome and Principe,Middle Africa
,,Western Asia (P),,,,,Cabo Verde,Botswana,Southern Africa
,,,,,,,Cambodia,Eswatini,Southern Africa
,,,,,,,Cameroon,Lesotho,Southern Africa
,,,,,,,Canada,Namibia,Southern Africa
,,,,,,,Cayman Islands,South Africa,Southern Africa
,,,,,,,Central African Republic,Benin,Western Africa
,,,,,,,Chad,Burkina Faso,Western Africa
,,,,,,,Chile,Cabo Verde,Western Africa
,,,,,,,China,Côte d’Ivoire,Western Africa
,,,,,,,"China, Hong Kong Special Administrative Region",Gambia,Western Africa
,,,,,,,"China, Macao Special Administrative Region",Ghana,Western Africa
,,,,,,,Christmas Island,Guinea,Western Africa
,,,,,,,Cocos (Keeling) Islands,Guinea-Bissau,Western Africa
,,,,,,,Colombia,Liberia,Western Africa
,,,,,,,Comoros,Mali,Western Africa
,,,,,,,Congo,Mauritania,Western Africa
,,,,,,,Cook Islands,Niger,Western Africa
,,,,,,,Costa Rica,Nigeria,Western Africa
,,,,,,,Côte d'Ivoire,Saint Helena,Western Africa
,,,,,,,Croatia,Senegal,Western Africa
,,,,,,,Cuba,Sierra Leone,Western Africa
,,,,,,,Curaçao,Togo,Western Africa
,,,,,,,Cyprus,Anguilla,Caribbean
,,,,,,,Czechia,Antigua and Barbuda,Caribbean
,,,,,,,Democratic People's Republic of Korea,Aruba,Caribbean
,,,,,,,Democratic Republic of the Congo,Bahamas,Caribbean
,,,,,,,Denmark,Barbados,Caribbean
,,,,,,,Djibouti,"Bonaire, Sint Eustatius and Saba",Caribbean
,,,,,,,Dominica,British Virgin Islands,Caribbean
,,,,,,,Dominican Republic,Cayman Islands,Caribbean
,,,,,,,Ecuador,Cuba,Caribbean
,,,,,,,Egypt,Curaçao,Caribbean
,,,,,,,El Salvador,Dominica,Caribbean
,,,,,,,Equatorial Guinea,Dominican Republic,Caribbean
,,,,,,,Eritrea,Grenada,Caribbean
,,,,,,,Estonia,Guadeloupe,Caribbean
,,,,,,,Eswatini,Haiti,Caribbean
,,,,,,,Ethiopia,Jamaica,Caribbean
,,,,,,,Falkland Islands (Malvinas),Martinique,Caribbean
,,,,,,,Faroe Islands,Montserrat,Caribbean
,,,,,,,Fiji,Puerto Rico,Caribbean
,,,,,,,Finland,Saint Barthélemy,Caribbean
,,,,,,,France,Saint Kitts and Nevis,Caribbean
,,,,,,,French Guiana,Saint Lucia,Caribbean
,,,,,,,French Polynesia,Saint Martin (French Part),Caribbean
,,,,,,,French Southern Territories,Saint Vincent and the Grenadines,Caribbean
,,,,,,,Gabon,Sint Maarten (Dutch part),Caribbean
,,,,,,,Gambia,Trinidad and Tobago,Caribbean
,,,,,,,Georgia,Turks and Caicos Islands,Caribbean
,,,,,,,Germany,United States Virgin Islands,Caribbean
,,,,,,,Ghana,Belize,Central America
,,,,,,,Gibraltar,Costa Rica,Central America
,,,,,,,Greece,El Salvador,Central America
,,,,,,,Greenland,Guatemala,Central America
,,,,,,,Grenada,Honduras,Central America
,,,,,,,Guadeloupe,Mexico,Central America
,,,,,,,Guam,Nicaragua,Central America
,,,,,,,Guatemala,Panama,Central America
,,,,,,,Guernsey,Argentina,South America
,,,,,,,Guinea,Bolivia (Plurinational State of),South America
,,,,,,,Guinea-Bissau,Bouvet Island,South America
,,,,,,,Guyana,Brazil,South America
,,,,,,,Haiti,Chile,South America
,,,,,,,Heard Island and McDonald Islands,Colombia,South America
,,,,,,,Holy See,Ecuador,South America
,,,,,,,Honduras,Falkland Islands (Malvinas),South America
,,,,,,,Hungary,French Guiana,South America
,,,,,,,Iceland,Guyana,South America
,,,,,,,India,Paraguay,South America
,,,,,,,Indonesia,Peru,South America
,,,,,,,Iran (Islamic Republic of),South Georgia and the South Sandwich Islands,South America
,,,,,,,Iraq,Suriname,South America
,,,,,,,Ireland,Uruguay,South America
,,,,,,,Isle of Man,Venezuela (Bolivarian Republic of),South America
,,,,,,,Israel,Bermuda,Northern America
