spec,fe,beta1,beta1_se,beta1_p,beta3,beta3_se,beta3_p,beta3_irr,n_obs,beta3_ci_lo,beta3_ci_hi
Lag 0,Week-year FE,-1.13524066037588,0.832009365739543,0.172423908351582,0.0854981760407355,0.906737065152135,0.924877095440163,1.08925957457716,2681,-1.69170647165745,1.86270282373892
Lag 0,Month-year FE,-1.31459253384866,0.418817611204669,0.00169630385659202,0.132993237478167,0.501175538363895,0.790730154419421,1.14224227386646,4143,-0.849310817715067,1.1152972926714
Lag 1,Week-year FE,-1.48698177556924,1.04413154975489,0.154408091906049,0.599705184187263,1.08929823162136,0.581947201252607,1.82158169013366,2681,-1.5353193497906,2.73472971816512
Lag 1,Month-year FE,-1.43203799905697,0.606335891714114,0.0181869449285564,0.462315787762666,0.655701163562826,0.480766135563053,1.5877466150186,4143,-0.822858492820473,1.7474900683458
Lag 2,Week-year FE,-1.53515144691637,0.848462348032213,0.0703991897645673,1.18286932852369,0.904819779914112,0.191111433205775,3.26372548114572,2681,-0.590577440107966,2.95631609715535
Lag 2,Month-year FE,-1.79463269372873,0.578671191391902,0.00192673285142596,1.07600768057508,0.627444025735997,0.0863624167918315,2.93294688555141,4143,-0.153782609867468,2.30579797101764
Lag 3,Week-year FE,0.106248374162347,0.515880026223418,0.836825603123507,-0.139701145453752,0.600886280287294,0.816156039181247,0.869618085886589,2681,-1.31743825481685,1.03803596390934
Lag 3,Month-year FE,-0.902297939049096,0.245709547732465,0.000240458580322857,0.950305734207518,0.365643178754908,0.00934964342832594,2.58650032006927,4143,0.233645103847899,1.66696636456714
Avg 0-3,Week-year FE,-2.72765717030158,1.4302618268872,0.0565072011174286,1.1565708549171,1.5165318367343,0.445676936477663,3.17901326595791,2681,-1.81583154508214,4.12897325491634
Avg 0-3,Month-year FE,-2.48043114085662,0.567256552223449,1.22730790686082e-05,1.04634254791978,0.662105974243768,0.114032483676423,2.84721848609235,4143,-0.251385161598003,2.34407025743757
Avg 1-3,Week-year FE,-1.66794793805402,1.20062131210531,0.16476059573119,0.817534851684367,1.27539800160793,0.521520272074286,2.2649096118809,2681,-1.68224523146717,3.3173149348359
Avg 1-3,Month-year FE,-2.01642665217102,0.510335380713442,7.77669940631279e-05,1.08862358250617,0.596433746790685,0.0679676398079071,2.9701830458244,4143,-0.0803865612035761,2.25763372621591
