"source","timing","window","family","exposure","n_obs","b1","se1","p1","b3","se3","p3","exposure_order"
"UNITED","past","lag 1d","NegBin","swh_lag1",3190,-3.00341303515898,0.62830907182355,1.75162477814776e-06,2.17159220663573,0.672569808072102,0.00124311567169349,1
"UNITED","past","lag 1d","Poisson","swh_lag1",3190,-1.76224693512222,0.455729336072632,0.00011024032503018,1.02200366887552,0.495412409680156,0.0391187908935504,1
"UNITED","past","lag 1-3d","NegBin","swh_prev3days",3190,-2.95772610774365,0.580395155468625,3.46802915162101e-07,2.87582148285666,0.676960022187543,2.15551923400605e-05,2
"UNITED","past","lag 1-3d","Poisson","swh_prev3days",3190,-1.80826200081811,0.500703896450096,0.000304501722700503,1.55358376504738,0.538631421736807,0.00392263673705223,2
"UNITED","past","lag 1-5d","NegBin","swh_prev5days",3190,-2.82849913652406,0.723222660776234,9.19277663488469e-05,3.66290008542142,0.819660708635064,7.86594948443822e-06,3
"UNITED","past","lag 1-5d","Poisson","swh_prev5days",3190,-1.38313261547266,0.484030745942818,0.00426951611037923,1.65061005106741,0.555184935883474,0.00294826174221867,3
"UNITED","past","lag 1-7d","NegBin","swh_prevweek",3190,-2.30251727033688,0.966340222797079,0.0171853037215828,3.62210786027258,1.08504017587078,0.000843155509763937,4
"UNITED","past","lag 1-7d","Poisson","swh_prevweek",3190,-1.17529173647614,0.602303902533928,0.0510181850061715,1.71748244965008,0.65986981959921,0.00924767969251047,4
"UNITED","future_placebo","lead 1d","NegBin","swh_next1day",3190,-2.14256706308348,0.608599536137057,0.00043075428595562,0.928455296098416,0.664552800131427,0.162379620341782,5
"UNITED","future_placebo","lead 1d","Poisson","swh_next1day",3190,-1.4709610373167,0.895415669414199,0.100430751789176,0.687175819925112,0.925091215717555,0.457590951162205,5
"UNITED","future_placebo","lead 1-3d","NegBin","swh_next3days",3190,-0.925620741160026,0.741492525788362,0.211913502120584,-0.161378580161261,0.790558634083463,0.838250086399875,6
"UNITED","future_placebo","lead 1-3d","Poisson","swh_next3days",3190,-0.575253082254581,0.612100416878386,0.347319228083915,-0.140465299204066,0.655497998204228,0.830322541735499,6
"UNITED","future_placebo","lead 1-5d","NegBin","swh_next5days",3190,-1.15998441687783,0.789757553979388,0.14189098742023,-0.335732580748197,0.867107314734933,0.698617858173913,7
"UNITED","future_placebo","lead 1-5d","Poisson","swh_next5days",3190,-0.793179674391465,0.535738723000315,0.138730654763307,-0.0298704955116942,0.597515558558242,0.960129433318247,7
"UNITED","future_placebo","lead 1-7d","NegBin","swh_next7days",3190,-1.30012218638448,1.26191908262364,0.302881487809484,-0.43645323872262,1.33053538786001,0.742890277998889,8
"UNITED","future_placebo","lead 1-7d","Poisson","swh_next7days",3190,-0.866233288423959,0.516861926176899,0.0937485388758357,-0.0313628590763464,0.576974373455436,0.956650373963342,8
"IOM","past","lag 1d","NegBin","swh_lag1",3279,-1.03333749536366,0.572281384611312,0.070973679191848,0.375740826697704,0.626393951272817,0.548607893858004,1
"IOM","past","lag 1d","Poisson","swh_lag1",3279,-1.99854238185434,0.504523526564858,7.45593087522337e-05,1.36566527235502,0.541884866599666,0.0117283846698183,1
"IOM","past","lag 1-3d","NegBin","swh_prev3days",3279,-1.68111194642672,0.476771462867326,0.000421834286052185,1.37800285881484,0.571775124239311,0.0159506233987032,2
"IOM","past","lag 1-3d","Poisson","swh_prev3days",3279,-2.22884690822699,0.765892597676004,0.00361278626686447,1.7699135462507,0.797410524464304,0.026447538731781,2
"IOM","past","lag 1-5d","NegBin","swh_prev5days",3279,-2.10774485457373,0.693559339527086,0.00237344382020942,2.5107332912509,0.783222510345618,0.0013476015091999,3
"IOM","past","lag 1-5d","Poisson","swh_prev5days",3279,-2.02815774222009,0.789656917759399,0.0102168097771606,2.0765932411453,0.839813916823268,0.013410319409579,3
"IOM","past","lag 1-7d","NegBin","swh_prevweek",3279,-1.6435037543722,0.912503580880913,0.0716882328270218,2.43215017016172,1.02504446544059,0.0176573331232018,4
"IOM","past","lag 1-7d","Poisson","swh_prevweek",3279,-1.77055855076081,0.867540808443422,0.0412613964152935,1.99723682386541,0.915631763916711,0.0291637162853818,4
"IOM","future_placebo","lead 1d","NegBin","swh_next1day",3279,-2.75636904648645,0.67504189716275,4.44090065943771e-05,2.06250061060176,0.716066223198928,0.00397270412519937,5
"IOM","future_placebo","lead 1d","Poisson","swh_next1day",3279,-0.954130062825346,0.885705222720085,0.281366519843217,0.369514088160948,0.900806612787624,0.681656622522708,5
"IOM","future_placebo","lead 1-3d","NegBin","swh_next3days",3279,-1.85838639281911,0.630173175256366,0.00318794647184462,0.951144206783942,0.681576362537938,0.162863172589204,6
"IOM","future_placebo","lead 1-3d","Poisson","swh_next3days",3279,-0.643771020334438,0.478098155674237,0.178133329980421,0.102932650998938,0.516916157238995,0.842162361047544,6
"IOM","future_placebo","lead 1-5d","NegBin","swh_next5days",3279,-1.43062035464687,0.792949980817025,0.0712039121667017,0.228100030491293,0.8647403301891,0.791950492626174,7
"IOM","future_placebo","lead 1-5d","Poisson","swh_next5days",3279,-0.918771285344232,0.420309319993281,0.0288199377727477,0.355491338553336,0.503391917082296,0.48006875233285,7
"IOM","future_placebo","lead 1-7d","NegBin","swh_next7days",3279,-0.524426566705911,0.982404453940526,0.593466482869468,-0.395161252949242,1.06861822073451,0.711541113706618,8
"IOM","future_placebo","lead 1-7d","Poisson","swh_next7days",3279,-0.781931084823392,0.511685173796387,0.12647559729952,0.0861681753750552,0.576380014158011,0.881159981015236,8
