"source","family","b1","se1","p1","b3","se3","p3","lag_d"
"IOM","NegBin",-0.888266945029773,0.345034847443464,0.0100406341271736,0.205139221844209,0.47190056594658,0.663773974489289,1
"IOM","NegBin",-1.528173766111,0.4717559714383,0.00119810423755652,0.936164493879332,0.581065231078892,0.107154065481366,2
"IOM","NegBin",-1.64644532263522,0.393010873960328,2.7980100138516e-05,1.44849864651482,0.521267858378919,0.00545602604982581,3
"IOM","NegBin",-1.89627630824752,0.457794919665436,3.43996092096624e-05,2.10576103362527,0.587664871426723,0.000339321472027556,4
"IOM","NegBin",-2.03589945930595,0.598893112912459,0.000675247123545991,2.54616796351568,0.710710936884582,0.000340237220396086,5
"IOM","NegBin",-1.67159487466577,0.848710135199844,0.048887557320075,2.54008067299764,0.979831333354173,0.0095318521201699,7
"IOM","Poisson",-1.89194730627164,0.429751467384009,1.07049090552498e-05,1.39036616910786,0.476265377909554,0.00350807435634476,1
"IOM","Poisson",-2.23288885796722,0.520732770901549,1.80309763317702e-05,1.81251833367632,0.561417726145092,0.00124455825282488,2
"IOM","Poisson",-2.20149940010468,0.662543821921887,0.000891193694622088,1.98133492179846,0.69908904212877,0.00459453499980656,3
"IOM","Poisson",-2.16104958117133,0.66387850296833,0.00113317180108341,2.30624473448708,0.71623373863992,0.00128208019152943,4
"IOM","Poisson",-1.9887203238807,0.692940896804156,0.00410509361534273,2.35146889711455,0.752763948353553,0.00178543954113212,5
"IOM","Poisson",-1.67043185126248,0.764830312213298,0.028958169949629,2.16733311411456,0.82985752732862,0.00900951122420766,7
"UNITED","NegBin",-1.96879472961947,0.623612203121886,0.00159356642325539,1.08166504229118,0.691387032741144,0.117703577010822,1
"UNITED","NegBin",-2.5371645906393,0.481310739555225,1.35412865106979e-07,1.99914621931903,0.586263450069947,0.000649678142350623,2
"UNITED","NegBin",-2.67098489840596,0.446260806567786,2.16050587055572e-09,2.72753348850803,0.57976688107138,2.5444542029522e-06,3
"UNITED","NegBin",-2.73692727518033,0.522815071111789,1.65001304151453e-07,3.48208467752837,0.670140320568813,2.03564155909463e-07,4
"UNITED","NegBin",-2.71896529942147,0.627010090372674,1.44836592924519e-05,3.69599333457374,0.74924124555487,8.09837554950188e-07,5
"UNITED","NegBin",-2.29011762946314,0.933788157929047,0.0141866462160033,3.66531729059123,1.06868095784247,0.000604119321096023,7
"UNITED","Poisson",-1.65004031612783,0.391505170910126,2.5021383953787e-05,0.958808007862236,0.444445753244447,0.0309813887306906,1
"UNITED","Poisson",-1.76323603545253,0.483155481954062,0.000262835708554151,1.33031072111933,0.523259424341537,0.0110108573197011,2
"UNITED","Poisson",-1.77922548727148,0.444127570140557,6.17259776683395e-05,1.69471575222185,0.487104886874104,0.000502988510993015,3
"UNITED","Poisson",-1.58570747400436,0.384366589726877,3.69917184118731e-05,1.94024812757415,0.462935720929609,2.77504230870034e-05,4
"UNITED","Poisson",-1.41746501162784,0.431823412231046,0.0010288704667315,1.97031279896888,0.515176070615096,0.000131015122658099,5
"UNITED","Poisson",-1.10538613671487,0.538949949388995,0.0402669845976212,1.87400253698261,0.610855553221502,0.00215617417398833,7
