post_mou,sea,obs,deaths,n_incidents,crossings,fat_rate,level
Pre-MoU,Calm,72,912,58,84943.19681127188,1.07,Daily
Pre-MoU,Medium,428,4926,185,220465.4303511842,2.23,Daily
Pre-MoU,Rough,139,985,28,14274.37283754438,6.9,Daily
Post-MoU,Calm,301,1430,142,88069.72812119291,1.62,Daily
Post-MoU,Medium,964,3470,317,185296.36164256526,1.87,Daily
Post-MoU,Rough,380,866,80,30671.910236241376,2.82,Daily
Pre-MoU,Calm,2,395,26,19957.651612903228,1.98,Weekly
Pre-MoU,Medium,70,5497,215,274084.8459399333,2.01,Weekly
Pre-MoU,Rough,19,940,31,26544.147608453844,3.54,Weekly
Post-MoU,Calm,35,1093,120,75833.68172043009,1.44,Weekly
Post-MoU,Medium,144,3489,310,197477.93383388934,1.77,Weekly
Post-MoU,Rough,56,1175,108,29275.932832777162,4.01,Weekly
