model_type,fe,spec,n_fe_cells,beta,se,p,irr,ci_lo,ci_hi,n_obs
Daily panel,Month-of-year,Month-of-year,12,-0.305040365100172,0.335236685749704,0.362861869540507,0.737093620933286,-0.962104269169592,0.352023538969247,4383
Daily panel,Year,Year,12,-0.444174769610421,0.363449358516579,0.221666371067796,0.641353321961646,-1.15653551230292,0.268185973082075,4383
Daily panel,Year + Month,Year + Month,24,-0.445423635040404,0.347213101239271,0.199543312771661,0.640552857909423,-1.12596131346938,0.235114043388568,4383
Daily panel,Half-year,Half-year,24,-0.192432806355301,0.350004444483001,0.582455847664304,0.82494974772157,-0.878441517541983,0.493575904831381,4383
Daily panel,Quarter-year,Quarter-year,48,-0.0330623184966938,0.272868302240136,0.903559676259808,0.96747826591923,-0.56788419088736,0.501759553893972,4383
Daily panel,Year x Month,Year x Month,144,0.773457093958249,,,2.16724568975936,,,4322
Daily panel,Week-year,Week-year,628,0.937334490192056,0.421665821448802,0.0262203788231761,2.5531668489361,0.110869480152405,1.76379950023171,3218
Event level,Grid + Month,Grid + Month,109,-0.0444107272062284,0.226708163640891,0.844693277916858,0.956560991154108,-0.488758727942375,0.399937273529919,1207
Event level,Grid + Year,Grid + Year,109,-0.165640692239189,0.211605168454865,0.433755208131651,0.847350639159368,-0.580386822410725,0.249105437932346,1207
Event level,Grid + Year + Month,Grid + Year + Month,121,-0.203691649070556,0.204377156558151,0.318936432453108,0.815713858538561,-0.604270875924531,0.196887577783419,1207
Event level,Grid + Half-year,Grid + Half-year,121,-0.161737448908101,0.201468291982434,0.422094060573323,0.850664518121411,-0.556615301193672,0.23314040337747,1207
Event level,Grid + Quarter,Grid + Quarter,145,-0.0595818347356719,0.21958467403458,0.786130492572269,0.942158429150352,-0.489967795843449,0.370804126372105,1206
Event level,Grid + Year x Month,Grid + Year x Month,239,0.112770372532056,0.233143103820552,0.628601675678764,1.11937486421894,-0.344190110956226,0.569730856020337,1200
