date,is_mou,beta,se,p,n_pre,n_post,ci_lo,ci_hi,variable,window
2015-01-01,FALSE,-0.312162309673203,1.49890278267062,0.835025537099139,43,1189,-3.25001176370761,2.62568714436121,SWH,Day-0
2015-04-01,FALSE,-0.84991854475689,0.286537258749931,0.00301532655706889,49,1183,-1.41153157190676,-0.288305517607025,SWH,Day-0
2015-07-01,FALSE,-0.406603699968866,0.271922655137585,0.134838320027343,64,1168,-0.939572104038532,0.1263647041008,SWH,Day-0
2015-10-01,FALSE,-0.297627065117939,0.251778624116059,0.237166727906664,85,1147,-0.791113168385415,0.195859038149536,SWH,Day-0
2016-01-01,FALSE,-0.302140185123185,0.253364240402745,0.233060102765885,88,1144,-0.798734096312565,0.194453726066195,SWH,Day-0
2016-04-01,FALSE,-0.150828716376042,0.265792185835505,0.570395862300615,99,1133,-0.671781400613632,0.370123967861548,SWH,Day-0
2016-07-01,FALSE,-0.069035567855376,0.274109497419216,0.80115393183325,116,1116,-0.606290182797039,0.468219047086287,SWH,Day-0
2016-10-01,FALSE,-0.0385577750687253,0.272789074528017,0.887596233593124,144,1088,-0.573224361143639,0.496108811006188,SWH,Day-0
2017-02-01,TRUE,-0.203691649070556,0.204377156558151,0.318936432453108,211,1021,-0.604270875924531,0.196887577783419,SWH,Day-0
2017-07-01,FALSE,-0.173220400927666,0.203802776929717,0.395357712226346,314,918,-0.572673843709911,0.22623304185458,SWH,Day-0
2017-10-01,FALSE,-0.181725376957688,0.199818193703236,0.363110736151572,327,905,-0.57336903661603,0.209918282700654,SWH,Day-0
2018-01-01,FALSE,-0.146484700501787,0.204988763644312,0.474857058862171,346,886,-0.54826267724464,0.255293276241065,SWH,Day-0
2018-04-01,FALSE,-0.141266945052259,0.201844497054518,0.484002191436815,356,876,-0.536882159279114,0.254348269174596,SWH,Day-0
2018-07-01,FALSE,-0.120393561363791,0.201832308286656,0.550839303359135,373,859,-0.515984885605636,0.275197762878053,SWH,Day-0
2015-01-01,FALSE,2.29947109122416,0.944693001323787,0.0149291382543268,43,1189,0.447872808629534,4.15106937381878,SWH,3-day mean
2015-04-01,FALSE,0.535272018591241,1.07727437659648,0.619276342762992,49,1183,-1.57618575953787,2.64672979672035,SWH,3-day mean
2015-07-01,FALSE,0.454614542315122,0.605830850132288,0.45301475285052,64,1168,-0.732813923944163,1.64204300857441,SWH,3-day mean
2015-10-01,FALSE,0.450827003799096,0.54745123546391,0.410222770851759,85,1147,-0.622177417710167,1.52383142530836,SWH,3-day mean
2016-01-01,FALSE,0.430264575341405,0.550151446493004,0.434165282346599,88,1144,-0.648032259784884,1.50856141046769,SWH,3-day mean
2016-04-01,FALSE,0.458977553419302,0.340456882059859,0.177619013711412,99,1133,-0.208317935418022,1.12627304225663,SWH,3-day mean
2016-07-01,FALSE,0.607057268656874,0.362442496701358,0.0939525916131745,116,1116,-0.103330024877788,1.31744456219154,SWH,3-day mean
2016-10-01,FALSE,0.506078591603265,0.336784782187514,0.132922474929524,144,1088,-0.154019581484262,1.16617676469079,SWH,3-day mean
2017-02-01,TRUE,0.269339939959018,0.28693928274576,0.347902628847664,211,1021,-0.293061054222671,0.831740934140708,SWH,3-day mean
2017-07-01,FALSE,0.220982549986129,0.266121900579301,0.406323446870072,314,918,-0.300616375149301,0.74258147512156,SWH,3-day mean
2017-10-01,FALSE,0.197463360773697,0.260709756496648,0.448806141233664,327,905,-0.313527761959734,0.708454483507128,SWH,3-day mean
2018-01-01,FALSE,0.22767985432873,0.262151536650764,0.385118074083224,346,886,-0.286137157506768,0.741496866164228,SWH,3-day mean
2018-04-01,FALSE,0.1717713904629,0.261118724152676,0.510648211242463,356,876,-0.340021308876345,0.683564089802145,SWH,3-day mean
2018-07-01,FALSE,0.202966812193891,0.258936678702074,0.433129725413186,373,859,-0.304549078062173,0.710482702449955,SWH,3-day mean
2015-01-01,FALSE,4.08510182095523,0.693940261899171,3.93695684578734e-09,43,1189,2.72497890763285,5.4452247342776,SWH,7-day mean
2015-04-01,FALSE,3.44707488707264,0.828176880569462,3.15134291112009e-05,49,1183,1.82384820115649,5.07030157298878,SWH,7-day mean
2015-07-01,FALSE,1.82429627869015,0.699470530430041,0.00910436185158673,64,1168,0.453334039047269,3.19525851833303,SWH,7-day mean
2015-10-01,FALSE,1.24596934110437,0.583848490823224,0.0328376410414193,85,1147,0.101626299090852,2.39031238311789,SWH,7-day mean
2016-01-01,FALSE,1.24043924216849,0.586082984696294,0.0343030872743996,88,1144,0.0917165921637546,2.38916189217323,SWH,7-day mean
2016-04-01,FALSE,1.31174682227535,0.476142477832345,0.00587018201595607,99,1133,0.378507565723949,2.24498607882674,SWH,7-day mean
2016-07-01,FALSE,1.27013836401609,0.475796598627876,0.00759645850083069,116,1116,0.337577030705457,2.20269969732673,SWH,7-day mean
2016-10-01,FALSE,0.899859127757626,0.444919291102944,0.043122436156255,144,1088,0.0278173171958547,1.7719009383194,SWH,7-day mean
2017-02-01,TRUE,0.568328073157311,0.352274274521165,0.106676889456315,211,1021,-0.122129504904172,1.25878565121879,SWH,7-day mean
2017-07-01,FALSE,0.216342516320185,0.339235363431297,0.52364571468738,314,918,-0.448558796005157,0.881243828645526,SWH,7-day mean
