year,sea,fat_rate
2016,Rough,3.94459500150557
2016,Calm,1.97231062372043
2016,Medium,2.16860047232775
2017,Rough,3.01444535295721
2017,Medium,2.08789326430787
2017,Calm,2.39231595275027
2018,Rough,4.82657068062827
2018,Medium,5.50704504862076
2018,Calm,5.77704418486541
2019,Rough,17.2812725958062
2019,Calm,8.4101568817726
2019,Medium,8.63058630586306
2020,Rough,11.4038876889849
2020,Medium,3.52365130716097
2020,Calm,1.85610409491007
2021,Medium,1.61775963255933
2021,Rough,5.78966005665722
2021,Calm,1.50699677072121
2022,Rough,5.17933445552247
2022,Medium,1.56656153606211
2022,Calm,0.803058729887998
2023,Calm,1.66164059179502
2023,Rough,1.24452836666381
2023,Medium,1.50890231950343
2024,Rough,5.50187032418953
2024,Medium,3.31865899085676
2024,Calm,1.53075284980584
