date,moon_illumination_frac
2009-01-01,0.457148
2009-02-01,0.495563
2009-03-01,0.478281
2009-04-01,0.504613
2009-05-01,0.518034
2009-06-01,0.531798
2009-07-01,0.54084
2009-08-01,0.542178
2009-09-01,0.523904
2009-10-01,0.522851
2009-11-01,0.495615
2009-12-01,0.499652
2010-01-01,0.493104
2010-02-01,0.438767
2010-03-01,0.498346
2010-04-01,0.492885
2010-05-01,0.51971
2010-06-01,0.519979
2010-07-01,0.539479
2010-08-01,0.540586
2010-09-01,0.534188
2010-10-01,0.52416
2010-11-01,0.510696
2010-12-01,0.484831
2011-01-01,0.464817
2011-02-01,0.491863
2011-03-01,0.451686
2011-04-01,0.464462
2011-05-01,0.458144
2011-06-01,0.483389
2011-07-01,0.480874
2011-08-01,0.495437
2011-09-01,0.522109
2011-10-01,0.517902
2011-11-01,0.527244
2011-12-01,0.513963
2012-01-01,0.504355
2012-02-01,0.489826
2012-03-01,0.478053
2012-04-01,0.470586
2012-05-01,0.479418
2012-06-01,0.480645
2012-07-01,0.507088
2012-08-01,0.523406
2012-09-01,0.52117
2012-10-01,0.546666
2012-11-01,0.537986
2012-12-01,0.550756
2013-01-01,0.541054
2013-02-01,0.493577
2013-03-01,0.516132
2013-04-01,0.488787
2013-05-01,0.480253
2013-06-01,0.467832
2013-07-01,0.46571
2013-08-01,0.468256
2013-09-01,0.486939
2013-10-01,0.490129
2013-11-01,0.514556
2013-12-01,0.508227
2014-01-01,0.509417
2014-02-01,0.55923
2014-03-01,0.49542
2014-04-01,0.498079
2014-05-01,0.469809
2014-06-01,0.472089
2014-07-01,0.453634
2014-08-01,0.45587
2014-09-01,0.469017
2014-10-01,0.480887
2014-11-01,0.499264
2014-12-01,0.522768
2015-01-01,0.540658
2015-02-01,0.515922
2015-03-01,0.545796
2015-04-01,0.530813
2015-05-01,0.53287
2015-06-01,0.507199
2015-07-01,0.510567
2015-08-01,0.500185
2015-09-01,0.476744
2015-10-01,0.487228
2015-11-01,0.480098
2015-12-01,0.498967
2016-01-01,0.510177
2016-02-01,0.518217
2016-03-01,0.532325
2016-04-01,0.533042
2016-05-01,0.522381
2016-06-01,0.515103
2016-07-01,0.487565
2016-08-01,0.469018
2016-09-01,0.471345
2016-10-01,0.448859
2016-11-01,0.462019
2016-12-01,0.452401
2017-01-01,0.464783
2017-02-01,0.520133
2017-03-01,0.492134
2017-04-01,0.519158
2017-05-01,0.52128
2017-06-01,0.53111
2017-07-01,0.526406
2017-08-01,0.521133
2017-09-01,0.503379
2017-10-01,0.49859
2017-11-01,0.4784
2017-12-01,0.487906
2018-01-01,0.493049
2018-02-01,0.448893
2018-03-01,0.513763
2018-04-01,0.512716
2018-05-01,0.540868
2018-06-01,0.5358
2018-07-01,0.552149
2018-08-01,0.545943
2018-09-01,0.526656
2018-10-01,0.514667
2018-11-01,0.49334
2018-12-01,0.473484
2019-01-01,0.458124
2019-02-01,0.480497
2019-03-01,0.461812
2019-04-01,0.478548
2019-05-01,0.479924
2019-06-01,0.503848
2019-07-01,0.498704
2019-08-01,0.504592
2019-09-01,0.524177
2019-10-01,0.507398
2019-11-01,0.512101
2019-12-01,0.48916
2020-01-01,0.478253
2020-02-01,0.477507
2020-03-01,0.461831
2020-04-01,0.46765
2020-05-01,0.480143
2020-06-01,0.493294
2020-07-01,0.520515
2020-08-01,0.538971
2020-09-01,0.535452
2020-10-01,0.554054
2020-11-01,0.537044
2020-12-01,0.543431
2021-01-01,0.528837
2021-02-01,0.46809
2021-03-01,0.502262
2021-04-01,0.477636
2021-05-01,0.482323
2021-06-01,0.474478
2021-07-01,0.485241
2021-08-01,0.492898
2021-09-01,0.508588
2021-10-01,0.513744
