"period","Cause of death (category)","n_incidents","total_dead","pct_dead"
"Mare Nostrum","Drowning",39,2947,96.4963981663392
"Mare Nostrum","Harsh environmental conditions / lack of adequate shelter, food, water",1,3,0.0982318271119843
"Mare Nostrum","Mixed or unknown",8,51,1.66994106090373
"Mare Nostrum","Vehicle accident / death linked to hazardous transport",2,46,1.50622134905043
"Mare Nostrum","Violence",1,7,0.22920759659463
"NGO SAR","Accidental death",4,38,0.473815461346633
"NGO SAR","Drowning",121,7060,88.0299251870324
"NGO SAR","Harsh environmental conditions / lack of adequate shelter, food, water",9,78,0.972568578553616
"NGO SAR","Mixed or unknown",76,656,8.17955112219451
"NGO SAR","Sickness / lack of access to adequate healthcare",3,3,0.0374064837905237
"NGO SAR","Vehicle accident / death linked to hazardous transport",12,172,2.14463840399003
"NGO SAR","Violence",2,13,0.162094763092269
"Post-MoU","Accidental death",3,3,0.0224450097261709
"Post-MoU","Drowning",1161,12578,94.1044441119258
"Post-MoU","Harsh environmental conditions / lack of adequate shelter, food, water",35,193,1.44396229238366
"Post-MoU","Mixed or unknown",140,437,3.26948975011222
"Post-MoU","Sickness / lack of access to adequate healthcare",17,17,0.127188388448302
"Post-MoU","Vehicle accident / death linked to hazardous transport",28,109,0.815502020050875
"Post-MoU","Violence",14,29,0.216968427352985
