"variable","label","outcome","controls","pre_beta","pre_se","pre_p","post_beta","post_se","post_p"
"wave_height_central_med","Wave height","rate","season",1.50874318317169,1.85626301885053,0.419608892596038,2.89791750570637,1.11531846149339,0.0127808787495508
"wind_speed_central_med","Wind speed","rate","season",-0.503496499423541,0.437551745850555,0.254492749502164,0.367778452765405,0.207018165619874,0.0827174264898513
"sst_central_med","SST","rate","season",0.472519841336073,0.614912278903861,0.445294056779894,-0.293462218705333,0.421267871350548,0.489791605655095
"current_speed_central_med","Current speed","rate","season",-49.7232961190675,26.3409609051307,0.0639902166651081,45.0045753548192,16.0770816410888,0.00763809006687023
"wave_max_central_med","Wave max","rate","season",0.32647142608576,0.534714783164497,0.543840770597374,0.624013996282317,0.334299235634729,0.0687813630041989
"wave_days_above_2m","Days >2m waves","rate","season",0.0711923866617439,0.07281633274244,0.332215652396344,0.115916280059679,0.0408163897359094,0.00686601590874683
"wave_height_central_med","Wave height","deaths_vol_ctrl","season + volume",3.18583852599414,1.45574902015902,0.0326773268670392,2.49415050204893,1.22745761609372,0.0485140940316684
"wind_speed_central_med","Wind speed","deaths_vol_ctrl","season + volume",0.0729609504553036,0.363062724358916,0.841433215768633,0.318920222598719,0.202437955780527,0.122668258879959
"sst_central_med","SST","deaths_vol_ctrl","season + volume",-0.0572371381206461,0.495181730834223,0.908378224478526,-0.104581877895782,0.424939635395478,0.806795937099817
"current_speed_central_med","Current speed","deaths_vol_ctrl","season + volume",-27.4951084129379,21.8376656940209,0.213049591338242,39.4245425817598,16.1665425096349,0.019050799024826
"wave_max_central_med","Wave max","deaths_vol_ctrl","season + volume",0.452741005049618,0.424875360360063,0.291026947798077,0.481019208950965,0.34822060803274,0.174472454356927
"wave_days_above_2m","Days >2m waves","deaths_vol_ctrl","season + volume",0.108976044860932,0.0578079703132375,0.0644238369431362,0.101415171607883,0.0439191345731943,0.0259252492050597
